,Expected Annual Damage,Dike Investment Costs,RfR Investment Costs,Evacuation Costs,Expected Number of Deaths,policy
0,4166020868.6916456,0,0.0,0.0,4.848239886572445,policy 0
1,263161878.03350595,0,0.0,0.0,0.2621016965286646,policy 0
2,329058959.12099427,0,0.0,0.0,0.5884705685437588,policy 0
3,2789307334.267984,0,0.0,0.0,1.8450885942775546,policy 0
4,492219234.7126365,0,0.0,0.0,0.5854866933890029,policy 0
5,789631474.8991468,0,0.0,0.0,0.5602201588019736,policy 0
6,2964888441.516514,0,0.0,0.0,1.8322774848787011,policy 0
7,199110559.37198487,0,0.0,0.0,0.2182911642309361,policy 0
8,1528406988.0588148,0,0.0,0.0,3.4625614344738627,policy 0
9,2690695711.7494435,0,0.0,0.0,1.8854590148002304,policy 0
10,325688374.212834,0,0.0,0.0,0.32412419022000816,policy 0
11,2754738849.691599,0,0.0,0.0,1.9414042628067694,policy 0
12,4721467365.814611,0,0.0,0.0,3.4358511287393383,policy 0
13,2744240539.415723,0,0.0,0.0,1.8108732827169345,policy 0
14,2599997598.805839,0,0.0,0.0,1.934205359050546,policy 0
15,323922901.742703,0,0.0,0.0,0.29426923798525134,policy 0
16,3750948385.703125,0,0.0,0.0,1.8457959530845998,policy 0
17,4222695721.985278,0,0.0,0.0,5.447526143428799,policy 0
18,3433214474.279747,0,0.0,0.0,3.2228474069376922,policy 0
19,924682929.7519715,0,0.0,0.0,0.8572239232320845,policy 0
20,2524563650.2581873,0,0.0,0.0,1.8513053184507182,policy 0
21,3217187039.684412,0,0.0,0.0,2.9893884364645205,policy 0
22,149244782.9077261,0,0.0,0.0,0.16189941121967133,policy 0
23,2635575587.0246477,0,0.0,0.0,1.8349844258917654,policy 0
24,197497036.82070345,0,0.0,0.0,0.23651349329705673,policy 0
25,2546321600.9712033,0,0.0,0.0,2.2233332624046476,policy 0
26,3241309254.5216174,0,0.0,0.0,2.0248621003821,policy 0
27,1044004471.1467738,0,0.0,0.0,0.7215504723277285,policy 0
28,3097174386.5728574,0,0.0,0.0,1.821331672290253,policy 0
29,391334212.0979541,0,0.0,0.0,0.3878395260301067,policy 0
30,3279376349.3703785,0,0.0,0.0,2.3764814198713173,policy 0
31,1900880193.0299184,0,0.0,0.0,3.4846095591685917,policy 0
32,187715203.91931912,0,0.0,0.0,0.20897216061775561,policy 0
33,1023794184.9108682,0,0.0,0.0,0.9402701232999036,policy 0
34,1937517051.8251553,0,0.0,0.0,3.462181823894795,policy 0
35,4277237303.4373245,0,0.0,0.0,2.5309817584226324,policy 0
36,2690230992.2202845,0,0.0,0.0,1.8461434913010257,policy 0
37,3143401591.542634,0,0.0,0.0,1.8208550462115807,policy 0
38,226752177.9815876,0,0.0,0.0,0.25065856162496525,policy 0
39,1815464936.9985144,0,0.0,0.0,3.623404474150404,policy 0
40,445286513.9090074,0,0.0,0.0,0.2977622046639623,policy 0
41,1228510031.56605,0,0.0,0.0,1.393803606777184,policy 0
42,2539577265.8819857,0,0.0,0.0,1.8316284174731645,policy 0
43,290140588.7708424,0,0.0,0.0,0.19706120785356077,policy 0
44,2046362544.070108,0,0.0,0.0,1.5829397194414874,policy 0
45,861247961.2741525,0,0.0,0.0,1.1710481476270076,policy 0
46,134656008.51287544,0,0.0,0.0,0.13559040257059346,policy 0
47,840578148.1961715,0,0.0,0.0,0.8746461171816831,policy 0
48,2438327120.844312,0,0.0,0.0,3.749253899839073,policy 0
49,698899882.3975511,0,0.0,0.0,0.8280084042449004,policy 0
50,2747742991.760981,0,0.0,0.0,1.813782150776722,policy 0
51,2954066605.9511747,0,0.0,0.0,1.8266490420741321,policy 0
52,967824478.3300579,0,0.0,0.0,0.8121181058125286,policy 0
53,2935926540.0596175,0,0.0,0.0,1.8101575865577328,policy 0
54,2979714983.3295135,0,0.0,0.0,1.863343179014068,policy 0
55,1532541269.5662167,0,0.0,0.0,1.1408445735343942,policy 0
56,760067108.0738714,0,0.0,0.0,0.8176847734512916,policy 0
57,3048433522.8677516,0,0.0,0.0,2.4974489760332035,policy 0
58,241371866.84527406,0,0.0,0.0,0.19561308495522334,policy 0
59,5417183860.858068,0,0.0,0.0,4.796619648540018,policy 0
60,3323938448.133175,0,0.0,0.0,1.9518369192683103,policy 0
61,1165609724.0857246,0,0.0,0.0,1.1116583057322247,policy 0
62,3408643793.115735,0,0.0,0.0,3.726994161342782,policy 0
63,241264673.52061808,0,0.0,0.0,0.19965780037431993,policy 0
64,2685984823.273886,0,0.0,0.0,1.928126094119001,policy 0
65,761065784.4144547,0,0.0,0.0,0.7022194876109167,policy 0
66,2982235188.736176,0,0.0,0.0,1.9785153634923895,policy 0
67,1999512188.3620303,0,0.0,0.0,1.8152920302687787,policy 0
68,751965545.1158992,0,0.0,0.0,0.9944562493252169,policy 0
69,3686553309.823849,0,0.0,0.0,2.3320174798729654,policy 0
70,3115932441.152083,0,0.0,0.0,2.445174203744692,policy 0
71,2287616216.841626,0,0.0,0.0,3.0716774426191416,policy 0
72,458993379.9174448,0,0.0,0.0,0.6560750665562884,policy 0
73,3108889937.4760103,0,0.0,0.0,4.856046073465631,policy 0
74,2943312292.8131604,0,0.0,0.0,1.812576453170678,policy 0
75,3054849451.670011,0,0.0,0.0,1.9084350743160412,policy 0
76,262683210.04030076,0,0.0,0.0,0.35220152063940424,policy 0
77,329399918.9489595,0,0.0,0.0,0.3144277523366004,policy 0
78,3702060055.105714,0,0.0,0.0,2.9414033616282804,policy 0
79,3375502091.9919786,0,0.0,0.0,2.738280461406993,policy 0
80,2267893306.2524137,0,0.0,0.0,1.895385743903601,policy 0
81,781240365.8348346,0,0.0,0.0,0.8077462241592922,policy 0
82,1170434038.9892945,0,0.0,0.0,1.5612976765098048,policy 0
83,1889620746.974628,0,0.0,0.0,3.3589857831352488,policy 0
84,228064952.60464516,0,0.0,0.0,0.38649172895814643,policy 0
85,2259384472.661467,0,0.0,0.0,3.521873359592032,policy 0
86,239568552.13345242,0,0.0,0.0,0.17537441761183098,policy 0
87,1570059286.120223,0,0.0,0.0,1.1643263836735913,policy 0
88,1808620447.5630176,0,0.0,0.0,3.3687108379419968,policy 0
89,550611344.4267951,0,0.0,0.0,0.4936199571690291,policy 0
90,74264597.08080924,0,0.0,0.0,0.06903722097130195,policy 0
91,2608803015.1932206,0,0.0,0.0,1.8985178423184892,policy 0
92,292435429.7921641,0,0.0,0.0,0.4279849427254476,policy 0
93,1880179780.0750818,0,0.0,0.0,3.339215789685439,policy 0
94,525286399.81499964,0,0.0,0.0,0.35462884933529637,policy 0
95,295324085.3266733,0,0.0,0.0,0.281483720079278,policy 0
96,3113789085.73412,0,0.0,0.0,1.8336111201007013,policy 0
97,452150161.9771275,0,0.0,0.0,0.4843007703334912,policy 0
98,570428134.0618924,0,0.0,0.0,0.4315185115592171,policy 0
99,2594440926.473614,0,0.0,0.0,1.8801079261283893,policy 0
100,571755973.4835622,0,0.0,0.0,0.48524098426810736,policy 0
101,2610816916.2443614,0,0.0,0.0,1.8133496880296782,policy 0
102,468517353.62140363,0,0.0,0.0,0.9181660684679307,policy 0
103,2050138159.8699048,0,0.0,0.0,1.873077455026117,policy 0
104,188097607.62277055,0,0.0,0.0,0.22839236816139666,policy 0
105,385890160.8211628,0,0.0,0.0,0.32288903153475645,policy 0
106,2928323540.9597406,0,0.0,0.0,2.039000271358867,policy 0
107,882982500.8899275,0,0.0,0.0,0.9617853852271347,policy 0
108,2947513409.067685,0,0.0,0.0,1.8179104600910485,policy 0
109,214900139.48557094,0,0.0,0.0,0.21174154923765132,policy 0
110,2553937386.069656,0,0.0,0.0,1.8875281881821886,policy 0
111,1529477887.6213272,0,0.0,0.0,2.38050150207188,policy 0
112,2670970713.191991,0,0.0,0.0,1.8682439763784353,policy 0
113,200282887.30423987,0,0.0,0.0,0.2695765479914396,policy 0
114,2758488049.6293697,0,0.0,0.0,1.7762682752698749,policy 0
115,4615314528.469938,0,0.0,0.0,5.464521691455045,policy 0
116,844465191.6910771,0,0.0,0.0,0.7985079770350911,policy 0
117,816282825.7871821,0,0.0,0.0,1.188537915603414,policy 0
118,2513379177.9065504,0,0.0,0.0,1.8057365605643465,policy 0
119,2726325167.8886147,0,0.0,0.0,1.7965517464773009,policy 0
120,78883935.20931551,0,0.0,0.0,0.056043734121911215,policy 0
121,168461628.1038072,0,0.0,0.0,0.1695398749950791,policy 0
122,1772056130.064844,0,0.0,0.0,1.9400402499146043,policy 0
123,656149165.9013222,0,0.0,0.0,0.9968076827483368,policy 0
124,311111971.412055,0,0.0,0.0,0.396122693296345,policy 0
125,2794956207.380653,0,0.0,0.0,2.2949596135823507,policy 0
126,1215639109.7030208,0,0.0,0.0,1.778842255864387,policy 0
127,194780825.33433968,0,0.0,0.0,0.1566673663699541,policy 0
128,2778845897.135172,0,0.0,0.0,1.9153327886765368,policy 0
129,2928328081.290355,0,0.0,0.0,1.573855597034732,policy 0
130,3669705432.4617953,0,0.0,0.0,3.9997781457978148,policy 0
131,3395166370.5364227,0,0.0,0.0,1.9382789310222779,policy 0
132,594412669.0098321,0,0.0,0.0,0.5158128099132311,policy 0
133,4748269064.183409,0,0.0,0.0,4.888360783957664,policy 0
134,3689814840.659983,0,0.0,0.0,2.132127252312386,policy 0
135,1731724416.0711775,0,0.0,0.0,3.4325689195688756,policy 0
136,1731463702.16145,0,0.0,0.0,3.399766402372907,policy 0
137,3437622116.131057,0,0.0,0.0,1.8079209591548884,policy 0
138,1893972002.3980274,0,0.0,0.0,3.35040729601906,policy 0
139,119436368.07099728,0,0.0,0.0,0.0894896691012572,policy 0
140,2242455531.6246634,0,0.0,0.0,1.7840312644107177,policy 0
141,299146091.7849916,0,0.0,0.0,0.20568555024425034,policy 0
