,Expected Annual Damage,Dike Investment Costs,RfR Investment Costs,Evacuation Costs,Expected Number of Deaths
0,3247246228.891491,0,0.0,0.0,2.907043105884994
1,3584060040.4885125,0,0.0,0.0,3.4950637410417063
2,3233612194.4866886,0,0.0,0.0,2.8787983018799244
3,3247246228.891491,0,0.0,0.0,2.907043105884994
4,2350440335.207761,0,0.0,0.0,3.6584201262137195
5,3247246228.891491,0,0.0,0.0,2.907043105884994
6,3247246228.891491,0,0.0,0.0,2.907043105884994
7,3247246228.891491,0,0.0,0.0,2.907043105884994
8,3247246228.891491,0,0.0,0.0,2.907043105884994
9,3247246228.891491,0,0.0,0.0,2.907043105884994
10,2612850256.078205,0,0.0,0.0,1.8194312186865225
11,3247246228.891491,0,0.0,0.0,2.907043105884994
12,3247246228.891491,0,0.0,0.0,2.907043105884994
13,3247246228.891491,0,0.0,0.0,2.907043105884994
14,3247246228.891491,0,0.0,0.0,2.907043105884994
15,3247246228.891491,0,0.0,0.0,2.907043105884994
16,3247246228.891491,0,0.0,0.0,2.907043105884994
17,3077589405.3602333,0,0.0,0.0,2.907043105884994
18,3247246228.891491,0,0.0,0.0,2.907043105884994
19,3247246228.891491,0,0.0,0.0,2.907043105884994
20,679366338.2821496,0,0.0,0.0,0.5731824002362044
21,629975598.2159811,0,0.0,0.0,0.5243264245379583
22,625871591.737836,0,0.0,0.0,0.5202772388683878
23,2457877308.8962955,0,0.0,0.0,1.8024193820033938
24,625871591.737836,0,0.0,0.0,0.5202772388683878
25,625871591.737836,0,0.0,0.0,0.5202772388683878
26,599414617.5376642,0,0.0,0.0,0.4925773073345291
27,625871591.737836,0,0.0,0.0,0.5202772388683878
28,625871591.737836,0,0.0,0.0,0.5202772388683878
29,2271070786.3309517,0,0.0,0.0,3.7095852404761644
30,625871591.737836,0,0.0,0.0,0.5202772388683878
31,625871591.737836,0,0.0,0.0,0.5202772388683878
32,635784019.1577975,0,0.0,0.0,0.5253509053008087
33,625871591.737836,0,0.0,0.0,0.5202772388683878
34,625871591.737836,0,0.0,0.0,0.5202772388683878
35,508835344.0880308,0,0.0,0.0,0.40467571141453085
36,660373720.5818441,0,0.0,0.0,0.5202772388683878
37,625871591.737836,0,0.0,0.0,0.5202772388683878
38,625871591.737836,0,0.0,0.0,0.5202772388683878
39,625871591.737836,0,0.0,0.0,0.5202772388683878
40,442868065.57144976,0,0.0,0.0,0.3896301813554776
41,437269746.2571912,0,0.0,0.0,0.38594122950717136
42,442620772.89234,0,0.0,0.0,0.38938951912703673
43,442868065.57144976,0,0.0,0.0,0.3896301813554776
44,429654499.1442565,0,0.0,0.0,0.3801718202629403
45,418506117.61048496,0,0.0,0.0,0.3676967956827959
46,458543992.4750718,0,0.0,0.0,0.40570778127763274
47,328088965.44896996,0,0.0,0.0,0.36819887134246576
48,442868065.57144976,0,0.0,0.0,0.3896301813554776
49,442868065.57144976,0,0.0,0.0,0.3896301813554776
50,465593201.0605669,0,0.0,0.0,0.44955542319757497
51,442868065.57144976,0,0.0,0.0,0.3896301813554776
52,442868065.57144976,0,0.0,0.0,0.3896301813554776
53,448303772.88062084,0,0.0,0.0,0.37742280322817023
54,442868065.57144976,0,0.0,0.0,0.3896301813554776
55,442868065.57144976,0,0.0,0.0,0.3896301813554776
56,410445407.8845283,0,0.0,0.0,0.36052201923602456
57,487452220.09128684,0,0.0,0.0,0.3896301813554776
58,398283911.0516126,0,0.0,0.0,0.3896301813554776
59,442868065.57144976,0,0.0,0.0,0.3896301813554776
60,279802119.4756197,0,0.0,0.0,0.384522532046803
61,207002172.16111916,0,0.0,0.0,0.287773626489226
62,207002172.16111916,0,0.0,0.0,0.287773626489226
63,212116065.1047307,0,0.0,0.0,0.29145101475351565
64,207002172.16111916,0,0.0,0.0,0.287773626489226
65,207002172.16111916,0,0.0,0.0,0.287773626489226
66,463106008.1351527,0,0.0,0.0,0.4330252604801511
67,206757108.6849095,0,0.0,0.0,0.28760197206264637
68,206916348.6358471,0,0.0,0.0,0.2876984781391761
69,98475879.39507681,0,0.0,0.0,0.096317522734165
70,207002172.16111916,0,0.0,0.0,0.287773626489226
71,207002172.16111916,0,0.0,0.0,0.287773626489226
72,155980780.90355995,0,0.0,0.0,0.2647198110630613
73,207002172.16111916,0,0.0,0.0,0.287773626489226
74,207002172.16111916,0,0.0,0.0,0.287773626489226
75,207002172.16111916,0,0.0,0.0,0.287773626489226
76,186162970.7216008,0,0.0,0.0,0.287773626489226
77,227841373.6006375,0,0.0,0.0,0.287773626489226
78,207002172.16111916,0,0.0,0.0,0.287773626489226
79,207002172.16111916,0,0.0,0.0,0.287773626489226
80,2729918039.627767,0,0.0,0.0,1.803292631123818
81,2750438667.5869384,0,0.0,0.0,1.8203248748518739
82,2731481353.3713837,0,0.0,0.0,1.8039594558053984
83,2729918039.627767,0,0.0,0.0,1.803292631123818
84,2729918039.627767,0,0.0,0.0,1.803292631123818
85,2729918039.627767,0,0.0,0.0,1.803292631123818
86,2729918039.627767,0,0.0,0.0,1.803292631123818
87,2729918039.627767,0,0.0,0.0,1.803292631123818
88,2729918039.627767,0,0.0,0.0,1.803292631123818
89,2729918039.627767,0,0.0,0.0,1.803292631123818
90,2729918039.627767,0,0.0,0.0,1.803292631123818
91,2729918039.627767,0,0.0,0.0,1.803292631123818
92,2729918039.627767,0,0.0,0.0,1.803292631123818
93,2729918039.627767,0,0.0,0.0,1.803292631123818
94,2729918039.627767,0,0.0,0.0,1.803292631123818
95,2729918039.627767,0,0.0,0.0,1.803292631123818
96,2729918039.627767,0,0.0,0.0,1.803292631123818
97,2449404725.6434517,0,0.0,0.0,1.803292631123818
98,2729918039.627767,0,0.0,0.0,1.803292631123818
99,2921971177.635963,0,0.0,0.0,1.803292631123818
100,2641457863.6516476,0,0.0,0.0,1.803292631123818
101,2661313541.845273,0,0.0,0.0,1.8203248748518739
102,2661313541.845273,0,0.0,0.0,1.8203248748518739
103,2661313541.845273,0,0.0,0.0,1.8203248748518739
104,2661313541.845273,0,0.0,0.0,1.8203248748518739
105,2661313541.845273,0,0.0,0.0,1.8203248748518739
106,2661313541.845273,0,0.0,0.0,1.8203248748518739
107,2661313541.845273,0,0.0,0.0,1.8203248748518739
108,2661313541.845273,0,0.0,0.0,1.8203248748518739
109,2661313541.845273,0,0.0,0.0,1.8203248748518739
110,2661313541.845273,0,0.0,0.0,1.8203248748518739
111,2661313541.845273,0,0.0,0.0,1.8203248748518739
112,2662901303.8510714,0,0.0,0.0,1.8210338735320897
113,2661313541.845273,0,0.0,0.0,1.8203248748518739
114,2661313541.845273,0,0.0,0.0,1.8203248748518739
115,2661313541.845273,0,0.0,0.0,1.8203248748518739
116,2943935457.359124,0,0.0,0.0,1.8203248748518739
117,2661313541.845273,0,0.0,0.0,1.8203248748518739
118,2467816752.073087,0,0.0,0.0,1.8203248748518739
119,2661313541.845273,0,0.0,0.0,1.8203248748518739
120,1163475057.0528164,0,0.0,0.0,1.4884336770100133
121,1370375000.745152,0,0.0,0.0,1.8063500430744337
122,1163541922.3138573,0,0.0,0.0,1.4885708134566265
123,1163475057.0528164,0,0.0,0.0,1.4884336770100133
124,1163475057.0528164,0,0.0,0.0,1.4884336770100133
125,1163572044.0457294,0,0.0,0.0,1.488704589055832
126,1163475057.0528164,0,0.0,0.0,1.4884336770100133
127,1050509846.075216,0,0.0,0.0,1.2524728481428284
128,1189652814.3970208,0,0.0,0.0,1.513286044882327
129,1163475057.0528164,0,0.0,0.0,1.4884336770100133
130,1979027233.3880877,0,0.0,0.0,3.468455366588604
131,1163475057.0528164,0,0.0,0.0,1.4884336770100133
132,1163475057.0528164,0,0.0,0.0,1.4884336770100133
133,838181879.8766984,0,0.0,0.0,1.1285148739044746
134,1163475057.0528164,0,0.0,0.0,1.4884336770100133
135,1163475057.0528164,0,0.0,0.0,1.4884336770100133
136,1185448013.8900044,0,0.0,0.0,1.5087825386077265
137,1226408233.6208177,0,0.0,0.0,1.4884336770100133
138,1293715195.5175028,0,0.0,0.0,1.4884336770100133
139,1074306286.6601083,0,0.0,0.0,1.4884336770100133
140,2293630356.7443724,0,0.0,0.0,3.5728449251766716
141,2401986035.7596436,0,0.0,0.0,3.6904278858182913
142,2402000437.629814,0,0.0,0.0,3.6904549994278435
143,2401986035.7596436,0,0.0,0.0,3.6904278858182913
144,2401986035.7596436,0,0.0,0.0,3.6904278858182913
145,2401986035.7596436,0,0.0,0.0,3.6904278858182913
146,2207491925.7195473,0,0.0,0.0,3.554389109078733
147,2401986035.7596436,0,0.0,0.0,3.6904278858182913
148,2401986035.7596436,0,0.0,0.0,3.6904278858182913
149,672091990.1673219,0,0.0,0.0,0.6110371106171156
150,2401986035.7596436,0,0.0,0.0,3.6904278858182913
151,2401986035.7596436,0,0.0,0.0,3.6904278858182913
152,2401986035.7596436,0,0.0,0.0,3.6904278858182913
153,2401986035.7596436,0,0.0,0.0,3.6904278858182913
154,2401986035.7596436,0,0.0,0.0,3.6904278858182913
155,2401986035.7596436,0,0.0,0.0,3.6904278858182913
156,2282722095.6532736,0,0.0,0.0,3.6904278858182913
157,2155169445.204837,0,0.0,0.0,3.6904278858182913
158,2570968748.3990335,0,0.0,0.0,3.6904278858182913
159,2401986035.7596436,0,0.0,0.0,3.6904278858182913
160,288441094.9771591,0,0.0,0.0,0.20215297816635994
161,289563498.88761294,0,0.0,0.0,0.20723204933573725
162,288457588.4530822,0,0.0,0.0,0.20216915800843166
163,288407066.3764623,0,0.0,0.0,0.202121381189578
164,2314540522.045579,0,0.0,0.0,1.80354349825877
165,288441094.9771591,0,0.0,0.0,0.20215297816635994
166,288441094.9771591,0,0.0,0.0,0.20215297816635994
167,307933107.9312105,0,0.0,0.0,0.224253656570995
168,288441094.9771591,0,0.0,0.0,0.20215297816635994
169,288441094.9771591,0,0.0,0.0,0.20215297816635994
170,317508635.0197474,0,0.0,0.0,0.2648075224743015
171,288441094.9771591,0,0.0,0.0,0.20215297816635994
172,288441094.9771591,0,0.0,0.0,0.20215297816635994
173,628321412.0746899,0,0.0,0.0,0.6345798905442865
174,288441094.9771591,0,0.0,0.0,0.20215297816635994
175,288441094.9771591,0,0.0,0.0,0.20215297816635994
176,260888384.6715874,0,0.0,0.0,0.17372767291643673
177,364247279.1999287,0,0.0,0.0,0.20215297816635994
178,288441094.9771591,0,0.0,0.0,0.20215297816635994
179,288441094.9771591,0,0.0,0.0,0.20215297816635994
180,2921956509.6610146,0,0.0,0.0,1.8032812588452387
181,2957032599.784372,0,0.0,0.0,1.8304883544696402
182,2957032599.784372,0,0.0,0.0,1.8304883544696402
183,278811136.56777847,0,0.0,0.0,0.2723277227721803
184,2957032599.784372,0,0.0,0.0,1.8304883544696402
185,2957032599.784372,0,0.0,0.0,1.8304883544696402
186,2957032599.784372,0,0.0,0.0,1.8304883544696402
187,2957032599.784372,0,0.0,0.0,1.8304883544696402
188,2957032599.784372,0,0.0,0.0,1.8304883544696402
189,2957032599.784372,0,0.0,0.0,1.8304883544696402
190,2957032599.784372,0,0.0,0.0,1.8304883544696402
