,epsilon_progress,nfe
0,0,0
1,37,100
2,351,1194
3,549,2287
4,709,3381
5,829,4477
6,937,5569
7,1011,6666
8,1076,7761
9,1140,8853
10,1211,9947
11,1372,11063
