,Expected Annual Damage,Dike Investment Costs,RfR Investment Costs,Evacuation Costs,Expected Number of Deaths,policy
0,2905471.142056753,591590387.2756399,151900000.0,297.73787698017065,0.00027084383135900296,0
1,0.0,591590387.2756399,151900000.0,0.0,0.0,0
2,467552.79038890556,591590387.2756399,151900000.0,43.65183541408858,4.8472886628000984e-05,0
3,0.0,591590387.2756399,151900000.0,0.0,0.0,0
4,12513841.879946994,591590387.2756399,151900000.0,898.6346218852325,0.0006881429865505231,0
5,743391047.281006,591590387.2756399,151900000.0,8223.554406455263,0.05878499080423688,0
6,590470.0051303712,591590387.2756399,151900000.0,44.4104632102068,5.1091059459677724e-05,0
7,11442696.690170221,591590387.2756399,151900000.0,161.2654153656335,0.0007506073708803736,0
8,0.0,591590387.2756399,151900000.0,0.0,0.0,0
9,925872.1927006881,591590387.2756399,151900000.0,43.592495967994324,4.8268094599016994e-05,0
10,459693.56759556703,591590387.2756399,151900000.0,43.29157808260704,4.72295681488685e-05,0
11,0.0,591590387.2756399,151900000.0,0.0,0.0,0
12,42795796.653559,591590387.2756399,151900000.0,1760.7805653016817,0.003552356025836428,0
13,11080279.988392597,591590387.2756399,151900000.0,150.486455597411,0.0007231503921978856,0
14,12306403.063966515,591590387.2756399,151900000.0,1289.7886595831806,0.0010074414289108404,0
15,12285287.036553266,591590387.2756399,151900000.0,497.2731542244235,0.0010717650496737852,0
16,1003744095.8148301,591590387.2756399,151900000.0,14702.916410968086,0.10702372536902925,0
17,9454770.513688397,591590387.2756399,151900000.0,201.91144897312293,0.0007907448940564989,0
18,16039327.841516852,591590387.2756399,151900000.0,268.83513735652156,0.0013487982985208368,0
19,0.0,591590387.2756399,151900000.0,0.0,0.0,0
20,85374.35434462313,591590387.2756399,151900000.0,7.6116123624470715,9.263117887492256e-06,0
21,3022986.449064287,591590387.2756399,151900000.0,121.30609334592612,0.00027098747582655056,0
22,0.0,591590387.2756399,151900000.0,0.0,0.0,0
23,692265310.971105,591590387.2756399,151900000.0,7583.544835662229,0.0541386744818903,0
24,100775.52121877715,591590387.2756399,151900000.0,7.485439109949629,8.82766932699472e-06,0
25,1574714.5973237134,591590387.2756399,151900000.0,99.04694105649307,0.00010316483771847848,0
26,0.0,591590387.2756399,151900000.0,0.0,0.0,0
27,2755067.292484084,591590387.2756399,151900000.0,175.56130178934296,0.00017788682869425993,0
28,0.0,591590387.2756399,151900000.0,0.0,0.0,0
29,26675356.572505612,591590387.2756399,151900000.0,940.765672964252,0.003946259628948074,0
30,1973196.7328086274,591590387.2756399,151900000.0,167.23094592416916,0.00014913714206796295,0
31,26423031.475706186,591590387.2756399,151900000.0,1473.8000149827894,0.0011279836385737474,0
32,0.0,591590387.2756399,151900000.0,0.0,0.0,0
33,737815.1075466893,591590387.2756399,151900000.0,44.3097272771671,5.0743400061475265e-05,0
34,80068273.03681764,591590387.2756399,151900000.0,1436.8522398539499,0.009903864965045315,0
35,88559457.61925438,591590387.2756399,151900000.0,1104.7660249178778,0.007200711888383997,0
36,1057190153.0765476,591590387.2756399,151900000.0,9114.03074782364,0.06634799324078502,0
37,1328362.7307928747,591590387.2756399,151900000.0,83.18774480849466,8.744320929846122e-05,0
38,18462938.317845725,591590387.2756399,151900000.0,479.20457775529485,0.001924378047445732,0
39,7305032.194813178,591590387.2756399,151900000.0,379.09023244487344,0.00034046288269057,0
40,502001.2649063857,591590387.2756399,151900000.0,45.23091210266345,5.392258898047921e-05,0
41,13085572.197524985,591590387.2756399,151900000.0,925.0997501521139,0.0007320091798270084,0
42,0.0,591590387.2756399,151900000.0,0.0,0.0,0
43,1056946.7555239105,591590387.2756399,151900000.0,100.34965546227255,0.00010766075980582868,0
44,614942608.4951578,591590387.2756399,151900000.0,9949.177677970198,0.07303272482985658,0
45,21708604.281801872,591590387.2756399,151900000.0,727.2633484128615,0.0011884165601927506,0
46,1040509807.6033946,591590387.2756399,151900000.0,15415.816689292607,0.11130436539284749,0
47,957812079.8880935,591590387.2756399,151900000.0,8494.334926661852,0.060840237283665305,0
48,585720401.1795322,591590387.2756399,151900000.0,7955.742705660879,0.056896294472252064,0
49,2953590.5828142273,591590387.2756399,151900000.0,299.9436143381147,0.00027845626218994966,0
50,61221434.80299014,591590387.2756399,151900000.0,1011.623733316001,0.006282812319090366,0
51,4321615.644346469,591590387.2756399,151900000.0,372.7046059216917,0.0006473850284173944,0
52,0.0,591590387.2756399,151900000.0,0.0,0.0,0
53,0.0,591590387.2756399,151900000.0,0.0,0.0,0
54,21531015.620812792,591590387.2756399,151900000.0,521.5555344705253,0.0027520026302819394,0
55,8769769.509896744,591590387.2756399,151900000.0,159.62030074490207,0.0007448993952937598,0
56,453195.48638597806,591590387.2756399,151900000.0,42.993713846171204,4.620158043822193e-05,0
57,3598898.474900599,591590387.2756399,151900000.0,176.15198740317553,0.00017992540022315984,0
58,45882370.03867805,591590387.2756399,151900000.0,640.7944716266162,0.0030182500814504524,0
59,33044537.952862028,591590387.2756399,151900000.0,524.6311207152953,0.0027598369953574777,0
60,1062959526.6629148,591590387.2756399,151900000.0,12247.613500100448,0.08997884609757689,0
61,20116668.500727944,591590387.2756399,151900000.0,1670.041998573349,0.0019343370516404761,0
62,0.0,591590387.2756399,151900000.0,0.0,0.0,0
63,0.0,591590387.2756399,151900000.0,0.0,0.0,0
64,0.0,591590387.2756399,151900000.0,0.0,0.0,0
65,766754.4407139816,591590387.2756399,151900000.0,45.17616172532578,5.373363472491012e-05,0
